,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,Layer7,Layer8,Layer9,Layer10,Layer11,Layer12,Layer13,Layer14,Layer15,Layer16,Layer17,Layer18,Layer19,Layer20,Layer21,Layer22,Layer23,Layer24,Layer25,Layer26,Layer27,Layer28,Layer29,Layer30,Layer31,Layer32,Layer33,Layer34,Layer35,Layer36,Layer37,Layer38,Layer39,Layer40,Beam Energy,Particle,Layer At Peak Value_1-28,Layer At Peak Value_29-40,Energy At Peak Value_1-28,Energy At Peak Value_28_40
440,0.968363,2.10705,1.23521,7.21823,1.15188,0.855482,1.3543,1.64131,1.94088,1.25043,1.8085,1.17842,1.44867,1.97175,0.98989,0.905442,3.69241,14.9563,0.947217,2.27779,2.73964,7.23065,2.39266,1.01563,2.31426,1.76194,4.68043,3.86432,3.10062,4.25721,1.91199,5.29427,10.501,5.93459,6.8045,7.03103,3.83059,2.6608,0.0,1.53794,200,muon,18,5,14.9563,10.501
441,2.99572,1.58513,2.02727,1.12657,0.932248,1.58264,1.11792,0.953749,2.39932,1.80059,10.5009,3.86155,2.59196,12.7722,10.1205,9.60911,0.990979,0.725585,23.5785,19.7698,8.40545,8.44548,2.60428,5.5899,2.55456,6.20354,4.38213,1.66302,3.79775,2.95267,2.85065,4.28281,9.29825,7.7725,12.7052,10.2097,5.81125,2.00459,0.0,1.67961,200,muon,19,7,23.5785,12.7052
442,0.0,1.23468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812448,1.17785,0.0,0.996391,0.0,2.84171,10.0181,5.19402,1.73078,0.974678,3.93858,9.47156,8.9973,3.65927,6.71658,3.61224,1.44081,0.0,0.0,200,muon,28,5,10.0181,9.47156
443,1.06711,2.92769,1.73269,2.90542,4.00432,3.05552,0.0,0.981093,8.71292,0.0,2.04099,1.14338,0.995123,0.901487,0.0,1.83467,0.0,0.0,12.8534,0.0,0.0,0.0,0.0,0.0,1.1834,2.28992,4.03703,1.14107,2.01327,4.40805,5.00351,4.08833,6.07271,8.10307,17.8157,7.778,8.13706,6.12794,0.0,0.0,200,muon,19,7,12.8534,17.8157
444,0.92748,0.777652,1.13784,0.752592,0.745339,1.14432,21.0714,1.23365,1.11014,0.741592,0.92679,2.13982,2.53966,1.52407,1.00394,0.665291,1.148,1.27466,12.1103,1.25391,0.831759,1.13972,2.15693,1.54013,1.66225,2.55691,4.19682,2.5628,6.31132,3.05665,1.95775,0.958677,10.4913,8.7336,21.1974,8.649,8.9984,1.07997,1.1963,0.768335,200,muon,7,7,21.0714,21.1974
445,1.2705,1.19809,0.925559,1.13392,1.29012,0.885516,0.0,1.37653,0.946629,1.22352,0.697959,1.15043,2.39055,3.89853,0.870635,0.93816,1.18213,0.976215,18.0387,1.0319,1.65733,0.0,2.71691,0.641244,1.56969,1.97284,4.53352,7.43624,4.95715,2.69042,0.0,2.02906,13.6552,24.5059,21.4117,4.042,3.7397,1.24345,0.0,0.91635,200,muon,19,6,18.0387,24.5059
446,1.0553,1.08862,1.11879,1.657,2.90338,0.760595,4.84529,13.6165,2.48749,1.06175,0.997329,2.24267,1.16208,0.702799,0.868169,0.915752,1.12759,11.54,25.1956,1.16852,1.23399,3.24337,0.863679,1.22931,2.12062,2.41157,4.23182,4.40578,3.90579,3.03902,1.6656,0.849219,12.0078,6.30676,15.1708,12.8524,5.00462,0.693623,0.791542,1.47869,200,muon,19,7,25.1956,15.1708
447,1.53187,0.967149,0.892861,0.990382,1.30669,0.958038,0.882934,1.04773,1.03101,1.11439,0.815969,1.6625,3.8607,1.29871,1.33732,1.26435,2.43433,2.0721,13.0535,3.40427,0.777042,1.07856,0.8542,1.03622,2.42445,2.91682,10.925,5.26699,2.1603,3.55522,8.27622,4.15587,5.17825,10.4443,14.8083,9.20315,4.94251,0.894955,0.0,1.90077,200,muon,19,7,13.0535,14.8083
448,1.12983,2.31497,1.43674,1.07734,1.43045,4.04656,2.02399,3.09806,3.07211,1.05401,1.48271,1.02463,0.791863,0.961826,2.00802,8.02428,5.82215,1.74061,2.14861,0.898992,4.245,7.82851,2.70733,0.718511,3.97696,3.69319,6.41002,5.65253,4.97767,3.33618,1.61145,5.17294,10.0028,9.09199,6.13376,6.87269,8.0321,1.84938,0.976763,2.08841,200,muon,16,5,8.02428,10.0028
449,0.0,0.0,0.487851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.769797,0.0,0.0,0.0,0.0,0.337273,1.44878,0.450181,4.37736,0.862464,0.0,2.6652,13.0413,1.82847,9.5536,4.51699,7.77087,0.0,0.0,0.0,200,muon,27,5,1.44878,13.0413
